Age,CurrentGender,Sex,MaritalStatus,RaceEthnicity,Political,SocialGroup,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,NFCMean,RFMean,JudgeMean,PersonalRecallMean,SocialRecallMean,PersonalPredictMean,SocialPredictMean
25,2,2,1,White,5,0,2.3,1.75,4.25,3.5,2.75,2.5,3.277777778,2.416666667,-35.42857143,2.642857143,4.928571429,2.444444444,4.888888889
62,2,2,5,White,2,0,1.2,0.5,2.75,3.25,2.75,2.5,0.777777778,0.833333333,-64.42857143,1.857142857,3.857142857,2.333333333,3.666666667
68,2,2,5,White,1,1,1.1,2,3.25,3.5,2.25,2.25,3.222222222,2.583333333,-74.57142857,3.642857143,4.5,3.642857143,4.214285714
18,2,2,2,White,4,0,3.2,2.25,2.5,1.75,2.25,2.25,2.444444444,4.916666667,-21.21428571,4.285714286,4.214285714,4.222222222,4.222222222
51,1,1,1,Black,1,1,1.9,1.75,2.5,3.75,2,2.25,2.722222222,4.333333333,63.85714286,4.714285714,4.571428571,4.785714286,4.714285714
67,1,1,3,White,5,0,1.4,2,3.25,2.5,2.25,3,2.555555556,6.333333333,-73.57142857,2.357142857,2.071428571,2.444444444,2.444444444
35,1,1,1,White,3,0,2,0.5,2.5,3.5,2.5,3.25,2.055555556,1.5,-32.21428571,3.071428571,5.714285714,3.111111111,5.555555556
74,2,2,1,White,4,1,1.7,3.75,4.25,3.25,1.5,2.5,2.388888889,4.166666667,-66.35714286,1.642857143,4.214285714,1.5,4.142857143
44,2,2,3,White,6,0,3.4,1,3.75,1.75,2.25,3.5,1.888888889,6.666666667,-36.92857143,2.5,3.428571429,2.333333333,3.666666667
29,5,2,1,White,1,0,4,2.5,3,1.5,3.5,3.25,3.277777778,0.916666667,-17.92857143,3.285714286,2.714285714,3.333333333,2.555555556
73,1,1,1,White,7,1,1.6,2.5,2.75,2.5,1.75,2.25,2.166666667,6,-17.5,4,4.071428571,3.928571429,4.142857143
87,1,1,1,White,4,0,1.6,3.5,3.5,3,1.5,3.25,2.888888889,2.083333333,-92.57142857,1,2.071428571,1,2.666666667
35,2,2,3,White,4,1,3,4.25,3.5,3.25,4,1.75,3.333333333,3.083333333,-73,4.785714286,5.5,5.785714286,6.142857143
68,1,1,1,White,2,0,1.5,4,3.75,3.75,1,4,3.444444444,2.75,-33.21428571,3,3.071428571,3.222222222,3.111111111
71,1,1,1,White,4,1,1.3,3,2.75,3.25,0.5,3,2.444444444,1.083333333,-74.92857143,1.857142857,3.928571429,1.857142857,4.571428571
